Title,Report
Acute Respiratory Disease Syndrome in Horse,"On 22 September 1994 an emergency situation was recognised at a Hendra stables in Brisbane. Onset of
severe illness in 8-9 horses had occurred on 19 September 1994. Signs observed were depression, anorexia,
weakness, high fever of 40 to 41 and severe respiratory difficulty in later stages with frothy discharge from
the nose terminally. Eleven animals were euthanased or died naturally between 20 September 1994 and 26
September 1994. One animal in an adjacent neighbouring stable was euthanased after showing signs of
severe illness for only several hours. Another animal which had left the stables on 16 September 1994 died
on a Kenilworth property after showing similar signs. The index case was suspected to be a mare which
entered the stables from a spelling paddock at Cannon Hill on 7 September 1994. This animal died on 9
September 1994 after showing severe respiratory difficulty and terminal frothy discharge from the nose.
The consistent necropsy findings in all animals were cyanosis and petechiation of the buccal mucosa, stable
froth in the trachea and bronchi and severe congestion and oedema of the lungs with multiple focal
haemorrhages on the pleural and cut surfaces. The cut surface of the lung exuded copious blood stained
fluid. Some animals showed mild to moderate jaundice, petechiation of the peritoneum and epicardial
haemorrhage. One horse showed petechiation of the gastric mucosa.
Histologically, lung was congested and had large focal or extensive haemorrhages which were frequently
associated with fibrin thrombi in capillaries and arterioles. Oedema was extensive in ventral lung sections
and alveolar lesions were larger, more advanced lesions showed alveolar necrosis and fibrinous alveolar
exudate containing some neutrophils. As the lesion progressed a cellular exudate consisting of macrophages
occurred as well as small foci of hypertrophy and hyperplasia of type 2 pneumocytes. Multinucleate
syncytia were present in the alveoli in some lung sections in both peracute haemorrhagic and later stages.
Multinucleate or polymorphonuclear cells with little cytoplasm were numerous in arterioles and capillaries
in some early lesions. These resembled megakaryocytes but in arterioles they appeared to be derived from
endothelium. Possible eosinophilic intracytoplasmic and intranuclear inclusions were seen very rarely in a
few macrophages and septal cells. The lung lesion was interpreted as a peracute or acute interstitial
pneumonia which was associated with intravascular coagulation in arterioles and alveolar capillaries.
A paramyxovirus causing prominent CPE with syncytium formation in equine dermal cells and other cell
lines has been isolated from lung specimens of 5 of 6 animals sampled at necropsy. Antibodies to this virus
have been demonstrated in several horses which recovered. Transmission of lung material an of cell culture
isolate at the Australian Animal Health Laboratory, Geelong has reproduced an acute fatal respiratory
disease in horses and confirmed that the virus is the cause of the condition. Further Morphological
characterisation at AAHL has demonstrated that the virus is a morbillivirus (measles, distemper, rinderpest
group) but no relation ship to known morbilliviruses has been shown as yet.
Serological survey of horses in Queensland has so far demonstrated no positive animals outside the three
infected sites. Several cases of human infection have been verified serologically including the trainer Vic
Rail who died with an acute lung disease."
Idiopathic Heart Failure/Liver Necrosis Syndrome in pigs,"Grower pigs on a Beaudesert piggery began suffering from dyspnoea and sudden death during November
1993. Only that group which had suffered an incident of nutritionally induced diarrhoea later developed the
syndrome. Necropsy findings were dominated by dilation of the heart, excessive volumes of fluid in body
cavities and swollen congested liver (chronic venous congestion). Pulmonary oedema and extensive
pneumonia was present in some but not all affected pigs. Histologically there was extensive centrilobular,
in some cases almost panlobular hepatocyte loss with variable replacement haemorrhage (anoxia induced?)
in livers. Lungs frequently showed severe interstitial pneumonia and oedema. No significant
histopathological lesions were seen in the heart muscle. The cause of the syndrome is presently unresolved.
The scouring which preceded this syndrome occurred in weaners (4-10 weeks) held in 2 pens adjacent to
the farrowing shed. A nutritionally dense diet high in energy and protein and comprised of canola meal,
full-fat soya meal, fish meal and vegetable oil was considered the cause of the scour. A low specification
feed was introduced and also (a week later) medication of the feed with lincomycin (44g/ton) and neomycin
(300g/ton) was carried out for a week. Canola meal still comprised 25% of the ration. The scouring ceased
but 2 weeks later the sudden deaths commenced. At this time the pigs had been shifted from the weaner
pens to the nearby grower shed consisting of pens with solid walls on each side of a central walkway.
Excreta was collected beneath the pens and removed, draining (without flushing) every 2-3 days. Pigs died
at the rate of 1-2 per day and a total of 63 pigs died in the 2 month period to 10-1-94.
Biochemical estimations on samples from 10 pigs of the affected group were carried out. Serum vitamin E
and blood glutathione peroxidase levels were normal; serum iron was low in 2 pigs, 299 and 704 ug/L (ref
730-1400) and serum copper was high in 6 pigs, 1347 to 1726 ug/L (ref 800-1200). Further biochemistry
was done on tissue samples from 3 pigs with typical liver and heart lesions. Liver and kidney selenium
levels were normal; liver copper was low in 2 pigs, 11.4 and 6.7 ppm (ref >15) but kidney copper levels
were normal. Hydrogen sulphide poisoning from the effluent pit, blue green algae toxicity from the
drinking water (an on-site dam) and plant seed toxicity including pyrrolizidine alkaloids were also
considered but not implicated in the disease syndrome."
Avian pulmonary tuberculosis in broiler breeders,"Avian pulmonary tuberculosis was diagnosed histologically in a fixed lung specimen submitted from one of
a flock of male broiler breeders in the Lockyer district in mid December 1993. Acid-fast bacilli were
present in moderate numbers in the multiple small caseous granulomas in lung tissue. Thirty of 500 birds
had died in a flock of 30-week-old birds. Clinical signs described were anorexia, lethargy and loss of
weight. Diarrhoea was also seen in this flock, but the connection with the tuberculosis was uncertain. The
flock was receiving chlortetracycline medication. Further samples from the flock for laboratory study have
had no gross or histological lesions of tuberculosis. Tuberculosis in poultry caused by Mycobacterium
avium serotypes 1 or 2 is typically seen as intestinal, liver and spleen lesions. These lesions have not been
reported from the flock in question. It appears possible that the unidentified acid-fast bacilli seen in the
lung lesions were an opportunistic pathogen of environmental origin"
Tail Rot in Eels,"Heavy losses occurred in eels (Anguilla reinhardti) in a holding tank on Reddacliff Peninsula after harvest
at Bjelke Petersen Dam and transport to Brisbane. Losses commenced 4 days after introduction and by day
7 about 200kg of a total of 400kg had died. Severe tail erosion with extensive skin ulceration progressing
forward on both sides was seen in 5 eels (length 72-132cm) examined at the laboratory. A thin translucent
membrane which readily peeled off was present on affected skin areas. This was seen to be composed of a
mat of fungal hyphae consistent with Saprolegnia sp on histological examination. Internal organs and gills
were not affected on gross and microscopic examination and bacterial cultures of skin and kidney resulted
4.
in isolates of Aeromonas hydrophila from skin only. The diagnosis made was tail rot due to Seprolegnia sp
and Aeromonas hydrophila and this was considered secondary to stress caused by capture, transport, high
stocking density and water quality problems."
Crotalaria dissitiflora (pyrrolizidine alkaloidosis) in horses,"Typical pyrrolizidine alkaloidosis was seen in 4 stock horses grazing Mitchell grass downs containing a
large population of Crotalaria dissitiflora (grey rattlepod) near Richmond in mid-February 1994. All 4
horses died or were killed humanely. The last recorded case of horses with pyrrolizidine alkaloidosis
associated with this Crotalaria species was in 1947 by C. T. White, then Government Botanist. Plant
specimens from the current case were placed in the Queensland Herbarium as vouchers (AQ623846;
AQ624771). Curiously, the test for pyrrolic metabolites on the liver of one horse with typical lesions was
negative."
Nitrate-nitrite poisoning from button grass in cattle,"Nitrate-nitrite poisoning was diagnosed in a group of 152 1-2 year old Brahman steers trucked from
Charters Towers, dipped in Barricade S at Maxwelton on 10 May, trucked to a property outside Maxwelton
and placed into cattle yards full of dried-off button grass. On the morning of 11 May, 5 were found dead
and a further 6 were sick of which 2 died within a few hours. Necropsy revealed dark brown discolouration
of the blood. An aqueous humour sample from one dead steer contained 75mg nitrate/L (normal ca
5mg/L). A sample of the remaining button grass (Dactyloctenium radulans) contained 4.8% KNO3 in dry
matter. Concentrations over 1.5% KNO3 are hazardous to ruminants. The important point about this case is
that even dried-off button grass is a high-soil-nitrate situation, such as cattle yards is a serious hazard to
stock."
Oleander poisoning in cattle,"Poisoning by oleander (Nerium oleander) was diagnosed in a group of 50 20-month-old Santa Gertrudis-
cross weaners introduced 5 days previously to a property at Nanango in early June 1994. The group had
access to oleander trees in a house yard and the pasture available was of poor quality. Severe dysentery
was observed. Five animals died. Necropsy of one animal that died over 24 hours after onset of illness
revealed haemorrhage and congestion in the large intestine, cyanosis and ecchymoses over an enlarged
heart. Oleander leaves were recognised in the rumen. Multiple scattered foci of degeneration and necrosis
were seen in cardiac muscle submitted for histopathology."
Cardiomyopathy and Atrial Thrombosis in a Foal,"Clinical examination of a 6-months old thoroughbred foal indicated loss of condition, depression,
recumbency and exaggerated heart sounds.
The most prominent post gross autopsy finding was hydropericardium. On histopathological examination
of the right ventricular myocardium and atria, there were multifocal areas of myocardial degeneration.
Associated with the atrial endocardium there was fibrin and platelet thrombus formation with evidence of
early organisation.
These changes lead to a diagnosis of cardiomyopathy with atrial thrombosis occurring secondarily to
disordered myocardial contractility of some duration.
Aetiological suggestions centred on the possibility of a congenital cardiomyopathy of an acquired
condition, possibly associated with a selenium/vitamin E responsive syndrome."
Herpes virus pneumonia in a feedlot steer,"Portions of lung from a feedlot steer with laboured breathing showed extensive grey consolidation with
pale bronchogenic patterns. Microscopically there was a necrotising bronchiolitis and interstitial pneumonia
with prominent hyperplasia of Type II pneumocytes to give alveoli an epithelialised or pseudoglandular
appearance. There was abundant accumulation of neutrophils within airways and alveoli. Numerous
intranuclear eosinophilic inclusion bodies typical of herpesvirus were found in airway and alveolar
epithelium.
These changes are typical of those associated with the more severe respiratory manifestations of bovine
herpes virus, Infectious Bovine Rhinotracheitis (IBR) infection which is common in feedlots in North
America and being encountered with increasing frequency in Australian feedlots."
Dermatophyte infection as a cause of Pyogranulomatous Dermatitis in a Cat,"Microsporum canis was cultured from chronic suppurative cutaneous lesions in the lumbosacral area of a
cat which has persisted for more than a year. The provisional diagnosis was cutaneous mycobacteriosis.
Histopathologically there was a severe deep dermal inflammatory reaction characterised by a multifocal
and coalescing granulomatous response to numerous, relatively large club colony formations of non-
pigmented yeast and hyphal forms of a fungus with the microns in diameter. Focal aggregations of foamy
macrophages were a feature of the granulomatous response. There was sinus tract formation with ulceration
of the overlying epidermis to give the lesion characteristics of a mycetoma."
