Report ID,Animal Species,Symptoms,Necropsy Findings,Diagnoses,Etiological Agents,SNOMED_species,SNOMED_diagnosis,SNOMED_symptoms,SNOMED_pathogens
0,Horses (Equine),Depression Anorexia Weakness High fever (40-41°C) Severe respiratory difficulty Frothy discharge from the nose Jaundice (mild to moderate),Cyanosis and petechiation of the buccal mucosa Stable froth in the trachea and bronchi Severe congestion and oedema of the lungs Multiple focal haemorrhages on the pleural and cut surfaces of the lungs Petechiation of the peritoneum and epicardial haemorrhage Petechiation of the gastric mucosa (in one horse),Peracute or acute interstitial pneumonia Intravascular coagulation in arterioles and alveolar capillaries,"A paramyxovirus (later identified as a morbillivirus, specifically Hendra virus)","{""SNOMED_species_term"": ""horse"", ""SNOMED_species_code"": ""35354009""}","{""SNOMED_diagnosis_term"": ""interstitial pneumonia"", ""SNOMED_diagnosis_code"": ""36485005""}","[{""term"": ""fever"", ""code"": ""386661006""}]","[{""term"": ""paramyxovirus"", ""code"": ""49872002""}, {""term"": ""hendra virus"", ""code"": ""81167003""}]"
1,"Pigs (specifically, grower pigs and weaners)",Dyspnoea (difficulty breathing) Sudden death Nutritionally induced diarrhoea (scouring),Dilation of the heart Excessive volumes of fluid in body cavities Swollen congested liver (chronic venous congestion) Pulmonary oedema Extensive pneumonia (in some pigs),"The cause of the syndrome is presently unresolved, but possible considerations include: Nutritionally induced disease Hydrogen sulphide poisoning Blue green algae toxicity Plant seed toxicity (including pyrrolizidine alkaloids)","Nutritionally dense diet high in energy and protein ( potential contributor to the initial scouring) Canola meal (component of the diet) Full-fat soya meal Fish meal Vegetable oil Lincomycin (medication added to the feed) Neomycin (medication added to the feed) Potential toxins from the environment, such as: Hydrogen sulphide from the effluent pit Blue green algae from the drinking water Plant seeds containing pyrrolizidine alkaloids","{""SNOMED_species_term"": ""pig"", ""SNOMED_species_code"": ""448771007""}","{""SNOMED_diagnosis_term"": null, ""SNOMED_diagnosis_code"": null}","[{""term"": ""dyspnoea"", ""code"": ""267036007""}]",[]
2,Broiler breeders (chickens),Anorexia Lethargy Loss of weight Diarrhoea,Multiple small caseous granulomas in lung tissue Acid-fast bacilli present in moderate numbers No gross or histological lesions of tuberculosis in further samples,Avian pulmonary tuberculosis,"Mycobacterium avium serotypes 1 or 2 (typical cause of tuberculosis in poultry, but not confirmed in this case) Unidentified acid-fast bacilli (possible opportunistic pathogen of environmental origin)","{""SNOMED_species_term"": ""chicken"", ""SNOMED_species_code"": ""387961004""}","{""SNOMED_diagnosis_term"": ""tuberculosis"", ""SNOMED_diagnosis_code"": ""371569005""}","[{""term"": ""anorexia"", ""code"": ""79890006""}]","[{""term"": ""mycobacterium avium"", ""code"": ""29686008""}]"
3,Eels (Anguilla reinhardti),Heavy losses Severe tail erosion Extensive skin ulceration Death (approximately 200kg of eels died),Severe tail erosion with extensive skin ulceration Thin translucent membrane on affected skin areas (composed of a mat of fungal hyphae) No effects on internal organs and gills,Tail rot,Fungal agent: Saprolegnia sp Bacterial agent: Aeromonas hydrophila,"{""SNOMED_species_term"": ""eel"", ""SNOMED_species_code"": ""90704004""}","{""SNOMED_diagnosis_term"": ""tail rot"", ""SNOMED_diagnosis_code"": ""127432006""}",[],"[{""term"": ""saprolegnia"", ""code"": ""252734000""}]"
4,Horses,"Not explicitly mentioned, but it can be inferred that the horses died or were killed humanely, suggesting severe illness or toxicity.","Typical pyrrolizidine alkaloidosis lesions were seen in the horses, but the specific findings are not detailed. A test for pyrrolic metabolites on the liver of one horse was negative despite typical lesions.",Pyrrolizidine alkaloidosis,"Crotalaria dissitiflora (grey rattlepod), specifically the pyrrolizidine alkaloids it contains.","{""SNOMED_species_term"": ""horse"", ""SNOMED_species_code"": ""35354009""}","{""SNOMED_diagnosis_term"": ""pyrrolizidine alkaloidosis"", ""SNOMED_diagnosis_code"": ""71533009""}","[{""term"": ""fever"", ""code"": ""386661006""}]",[]
5,Brahman steers (cattle),Found dead Sick Died within a few hours,Dark brown discolouration of the blood,Nitrate-nitrite poisoning,Nitrate (NO3) Nitrite (NO2) Button grass (Dactyloctenium radulans) containing high levels of potassium nitrate (KNO3),"{""SNOMED_species_term"": ""cattle"", ""SNOMED_species_code"": ""34618005""}","{""SNOMED_diagnosis_term"": ""nitrate poisoning"", ""SNOMED_diagnosis_code"": ""21879003""}",[],[]
6,Santa Gertrudis-cross weaners (cattle),"Severe dysentery, death (in 5 animals)",Haemorrhage and congestion in the large intestine Cyanosis Ecchymoses over an enlarged heart Oleander leaves in the rumen Multiple scattered foci of degeneration and necrosis in cardiac muscle,Poisoning by oleander (Nerium oleander),Oleander (Nerium oleander),"{""SNOMED_species_term"": ""cattle"", ""SNOMED_species_code"": ""34618005""}","{""SNOMED_diagnosis_term"": ""nitrate poisoning"", ""SNOMED_diagnosis_code"": ""21879003""}","[{""term"": ""dysentery"", ""code"": ""236071009""}, {""term"": ""sudden death"", ""code"": ""27942005""}]",[]
7,Thoroughbred foal (equine),Loss of condition Depression Recumbency Exaggerated heart sounds,Hydropericardium Multifocal areas of myocardial degeneration in the right ventricular myocardium and atria Fibrin and platelet thrombus formation with evidence of early organisation associated with the atrial endocardium,Cardiomyopathy Atrial thrombosis,Congenital cardiomyopathy Acquired condition Selenium/Vitamin E responsive syndrome (possible association),"{""SNOMED_species_term"": null, ""SNOMED_species_code"": null}","{""SNOMED_diagnosis_term"": ""cardiomyopathy"", ""SNOMED_diagnosis_code"": ""85898001""}","[{""term"": ""depression"", ""code"": ""35489007""}]",[]
8,"Bovine (specifically, a feedlot steer)",Laboured breathing,Extensive grey consolidation with pale bronchogenic patterns in the lung Necrotising bronchiolitis and interstitial pneumonia Hyperplasia of Type II pneumocytes Abundant accumulation of neutrophils within airways and alveoli Intranuclear eosinophilic inclusion bodies in airway and alveolar epithelium,Infectious Bovine Rhinotracheitis (IBR) infection,"Bovine herpesvirus (specifically, the virus that causes IBR)","{""SNOMED_species_term"": null, ""SNOMED_species_code"": null}","{""SNOMED_diagnosis_term"": ""infectious bovine rhinotracheitis"", ""SNOMED_diagnosis_code"": ""10608251000119103""}",[],"[{""term"": ""bovine herpesvirus"", ""code"": ""54382003""}, {""term"": ""hendra virus"", ""code"": ""81167003""}]"
9,Cat,"Chronic suppurative cutaneous lesions in the lumbosacral area, persisted for more than a year, sinus tract formation, ulceration of the overlying epidermis","Severe deep dermal inflammatory reaction, multifocal and coalescing granulomatous response, focal aggregations of foamy macrophages, sinus tract formation with ulceration of the overlying epidermis","Cutaneous mycobacteriosis (provisional), Mycetoma","Microsporum canis (fungus), non-pigmented yeast and hyphal forms of a fungus (likely a different species, but not explicitly identified as a separate agent)","{""SNOMED_species_term"": ""cat"", ""SNOMED_species_code"": ""388606001""}","{""SNOMED_diagnosis_term"": ""mycobacteriosis"", ""SNOMED_diagnosis_code"": ""42765004""}",[],[]
